Ticker,Sector,Shares Float,Gap %,Pre-market High,Pre-market Volume,Volume,Last,Open,High,Low,Change %,Change,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Exponential Moving Average (20),Exponential Moving Average (200),Exponential Moving Average (30),Exponential Moving Average (5),Exponential Moving Average (50),1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,52 Week High,52 Week Low,6-Month High,6-Month Low,6-Month Performance,All Time High,All Time Low,Average Day Range (14),Average Directional Index (14),Average True Range (14),Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Basic EPS (FY),Change 15m,"Change 15m, %",Change 1h,"Change 1h, %",Change 1m,"Change 1m, %",Change 4h,"Change 4h, %",Change 5m,"Change 5m, %",Change from Open,Change from Open %,Country,Enterprise Value (MRQ),Enterprise Value/EBITDA (TTM),Exchange,Exponential Moving Average (10),Exponential Moving Average (100),Industry,Momentum (10),Monthly Performance,Number of Shareholders,Pattern,Post-market Change,Post-market Change %,Post-market Close,Post-market High,Post-market Low,Post-market Open,Post-market Volume,Pre-market Change,Pre-market Change %,Pre-market Change from Open,Pre-market Change from Open %,Pre-market Close,Pre-market Gap %,Pre-market Low,Pre-market Open,Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Rate Of Change (9),Recent Earnings Date,Relative Volume,Revenue per Employee (TTM),Simple Moving Average (10),Simple Moving Average (100),Simple Moving Average (20),Simple Moving Average (200),Simple Moving Average (30),Simple Moving Average (5),Simple Moving Average (50),Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),Volume*Price,Weekly Performance,YTD Performance,Yearly Performance,Upcoming Earnings Date
IVPAF,Non-Energy Minerals,554626652.36,1.89281179,,,54441,4.48,4.493473,4.58,4.46319,1.58730159,0.07,5398131200.000001,,-0.00696238,,4.3244951,3.38409211,4.23843138,4.43766417,4.10217532,4.69,3.62,1.0819551,4.69,3.27,14.82174437,4.69,1.35,4.69,2.35,92.10153939,5.3915,0.357,0.159225,30.68067039,0.1798638,79095,95206.66666667,119551.46666667,122014.72222222,0.01812223,-0.02,-0.44444444,-0.02,-0.44444444,0,0,0.07,1.58730159,-0.02,-0.44444444,-0.013473,-0.29983489,Canada,3930585813.2135506,,OTC,4.41541519,3.7956181,Other Metals/Minerals,0.075,17.70888071,,,,,,,,,,,,,,,,,,2.15492205,1.81546,,,2.28310502,2020-11-09,0.56303055,,4.43915,3.8548696,4.355,3.0237566,4.19811333,4.426,3.9939778,3.80893486,3.89975601,4.42025082,4.50773,4.37724048,243895.68,2.22709018,36.29864006,70.98584024,2021-03-23
TATYF,Consumer Non-Durables,451243018.18134,1.8881368,,,100,8.58,8.58,8.58,8.58,1.8881368,0.159,3975097123.14,12.30871091,0.68867443,4218,8.51582796,9.05119245,8.54045865,8.54570789,8.6179056,9.01,7.95,0.83031017,10.4,6.2,-2.05479452,10.4,6.2,10.4,6.2,1.0124794,16.2,3.12,0.02421429,9.47266631,0.22701565,389.9,1007.4,2076.46666667,2862.88888889,0.65444572,0.159,1.8881368,0.159,1.8881368,0.159,1.8881368,0.159,1.8881368,0.159,1.8881368,0,0,United Kingdom,,7.23545,OTC,8.52037067,8.75090298,Food: Specialty/Candy,0.171,6.06341554,14743,,,,,,,,,,,,,,,,,2.24897236,,21.0009,1.09254214,1.23893805,2020-11-05,0.24396194,847211.11587831,8.4306,8.92582532,8.599,8.85311166,8.49567773,8.6112,8.66635864,1.85314685,0.31165904,0,8.58,8.78670729,858,2.14285714,-14.0625,-2.72108844,2021-05-27
KOPN,Electronic Technology,69562892.481,1.88679245,1.6399,8099,344647,1.62,1.62,1.65,1.59,1.88679245,0.03,137785860,,-0.1575,153,1.4240728,1.21377983,1.4058658,1.53981778,1.39753538,1.66,1.17,1.5129895,1.66,1.17,5.88235294,2.16,0.19,2.16,1,54.28571429,49.875,0.19,0.07750714,17.80787744,0.09228209,513436.5,419188.9,450259.21666667,574914.63333333,-0.3675,0.01,0.62111801,0.01,0.62111801,0.01,0.62111801,0.04,2.53164557,0.01,0.62111801,0,0,United States,92056200,,NASDAQ,1.47577977,1.35124215,Semiconductors,0.3,32.78688525,398,Doji,0.01,0.61728395,1.63,1.63,1.63,1.63,100,0.04,2.51572327,0,0,1.63,2.51572327,1.6001,1.63,4.58715596,4.51483,,3.75949613,22.72727273,2020-11-03,0.67857028,192933.39215686,1.436,1.4872,1.3945,1.092285,1.372,1.526,1.3663,3.77358491,6.48519377,7.41865329,1.62,1.4339208,558328.14,19.11764706,303.88930441,221.62001191,2021-03-16
MACE,Electronic Technology,57945981.11,1.88679245,,,29025,0.378775,0.405,0.405,0.378775,-4.71069182,-0.018725,22327271.15,21.60326087,0.0184,42,0.39922159,0.34564397,0.40354963,0.39294722,0.40530078,0.475,0.364,0.67156583,0.5489,0.3,-11.89230054,0.5489,0.0192,0.5489,0.2011,68.34444444,28.25,0.0192,0.02450536,15.46466866,0.02760384,94135.3,105625.33333333,107249.71666667,130962.82222222,-0.0269,-0.011225,-2.87820513,-0.011225,-2.87820513,-0.001225,-0.32236842,-0.018725,-4.71069182,-0.001225,-0.32236842,-0.026225,-6.47530864,United States,29726400,,OTC,0.39514016,0.38456887,Aerospace & Defense,0.003775,-7.61585366,95,Marubozu Black,,,,,,,,,,,,,,,,3.9981895,3.70248,479.01,1.90483413,-1.10313316,2020-10-29,0.30490143,250095.23809524,0.3981225,0.39972895,0.39487575,0.30336285,0.40507483,0.396525,0.4183699,6.9236354,7.36092109,6.11272056,0.38751667,0.39636984,10993.944375,-4.22882427,51.51,29.4957265,2021-03-02
ENGMF,Commercial Services,27324861.41,1.88479533,,,47318,2.26,2.2909,2.34,2.2403,0.51055806,0.01148,233751799.99999997,,-0.80778589,250,1.74141268,1.32145489,1.60432548,2.19886977,1.47114656,2.5,1.04,0.9865629,2.5,1.04,79.36507937,2.5,0.801346,2.5,1.04,96.52173913,2.5,0.801346,0.18267143,38.26604858,0.17165174,134336.7,65036.23333333,51235.56666667,47360.61111111,-1.59938307,0,0,-0.01,-0.44052863,0,0,0.01148,0.51055806,0,0,-0.0309,-1.34881488,Canada,121382743.77690436,,OTC,2.00290987,1.35803924,Miscellaneous Commercial Services,0.9101,101.26458278,,,,,,,,,,,,,,,,,,1.77152354,1.10992,,6.32396833,58.66329683,2020-11-16,0.34589636,37661.31019857,1.956342,1.2980338,1.583576,1.23604032,1.44818067,2.281644,1.3499574,4.45029684,8.98672125,13.50178652,2.2801,1.83163712,106938.68,18.14522453,41.52420314,45.253551,2021-04-06
VFF,Process Industries,55519628.611,1.884,10.38,47933,1888926,10.63,10.1884,10.7,10.08,6.3,0.63,702215674,,-0.05195583,1000,7.6000131,5.75139904,7.00500013,9.62248449,6.41030678,10.94,4.545,1.7319597,10.94,4.27,86.81898067,10.94,2.07,10.94,4.27,94.33272395,18.1,0.5486,0.81831429,43.21530397,0.72053111,3984346.9,2480711.76666667,1782326.75,1550056.63333333,0.0481203,0,0,0,0,0.0299,0.27531975,0.275,2.59067358,0.0299,0.27531975,0.4416,4.33434102,Canada,256393037.619315,,NASDAQ,8.69955636,5.8569177,Agricultural Commodities/Milling,4.57,125.21186441,11,,0.27,2.53998119,10.9,10.93,10.85,10.9,3941,0.11,1.1,0.31,3.16326531,10.11,-2,9.8,9.8,4.16393727,1.60165,,3.84287171,79.86463621,2020-11-13,0.47069424,147928.98783753,8.4,5.71855,7.057,4.889125,6.392,9.522,5.8013,6.94444444,10.96330449,10.44587834,10.47,7.35894571,20079283.38,33.04130163,70.62600321,60.57401813,2021-03-24
WTI,Energy Minerals,92402535.49800003,1.87793427,2.2,44274,2109739,2.13,2.17,2.21,2.12,0,0,301987140,5.43505996,0.3919,291,1.84433601,2.44096451,1.80619987,2.08441721,1.82547093,2.45,1.35,1.1870573,2.45,1.35,-8.18965517,6.1,1.07,3.97,1.35,-25.26315789,59.99001,1.07,0.15745714,33.27838987,0.15736694,5215733.9,3856872.5,3333427.05,3253917.5,0.5172,-0.01,-0.46728972,0,0,-0.01,-0.46728972,-0.02,-0.93023256,-0.01,-0.46728972,-0.04,-1.84331797,United States,835008000,5.5002,NYSE,1.96709702,1.99918719,Oil & Gas Production,0.48,43.91891892,178,,0,0,2.13,2.15,2.13,2.13,4366,0.07,3.28638498,0.04,1.85185185,2.2,1.4084507,2.16,2.16,,,,0.74708782,22.4137931,2020-11-04,0.39940342,1838130.58419244,1.931,2.0129,1.7385,2.212,1.70033333,2.086,1.7388,4.24528302,8.57539193,10.49115288,2.15333333,1.82500397,4493744.07,22.4137931,-61.69064748,-50.23364486,2021-03-10
TRX,Non-Energy Minerals,190479128.616,1.87040748,0.5988,200,88877,0.6153,0.61,0.6198,0.596,2.75551102,0.0165,121498983.9,,-0.16922298,,0.63610024,0.7282947,0.65086151,0.6120444,0.67969559,0.71,0.568,-0.08814741,0.905,0.568,-29.1537133,1.09,0.36,1.09,0.568,-27.79863882,9.1,0.1699,0.03708214,24.03032969,0.0393565,290497.6,270806.56666667,275306.91666667,413799.42222222,-0.1614991,0,0,0.0047,0.76385503,0,0,0.0047,0.76385503,0,0,0.0053,0.86885246,Canada,144826363.76790622,,NYSE ARCA,0.62133152,0.71898379,Precious Metals,-0.011099,-5.090236,1840,,0.0047,0.76385503,0.62,0.62,0.62,0.62,2800,0,0,0,0,0.5988,0,0.5988,0.5988,6.2711652,8.72223,,,-2.28680324,2020-07-15,0.28972322,,0.62589,0.77867799,0.63495495,0.71898957,0.64772663,0.61106,0.67352398,3.99328859,5.93528091,6.00207755,0.61036667,0.63202786,54686.0181,-3.859375,0,-24.83113577,2020-11-30
ACAMU,Finance,30557300,1.86915888,,,200,10.9,10.9,10.9,10.9,1.86915888,0.2,416340000,,,,10.56546149,10.23353474,10.54961685,10.70651057,10.5196183,11.195,9.8092,0.1252626,12.1,9.8092,6.34146341,12.1,9.66,12.1,9.66,7.92079208,12.1,9.66,0.51506429,29.6125737,0.41997767,5630.9,15609.2,14373.25,15218.36666667,,0.2,1.86915888,0.2,1.86915888,0.2,1.86915888,0.2,1.86915888,0.2,1.86915888,0,0,United States,400253000,,NASDAQ,10.61748998,10.42720281,Financial Conglomerates,0.3,3.31753555,,,,,,,,,,,,,,,,,,,80.1375,,,4.80769231,,0.03352386,,10.55439,10.418228,10.53386,10.2273815,10.52849667,10.67176,10.600178,1.83486239,4.25741048,3.27029422,10.9,10.49509521,2180,3.71075167,7.08426254,,
ALJJ,Commercial Services,15184190.1216,1.86915888,,,83333,1.07,1.09,1.11,1.06,0,0,45124896,,-1.8731,5499,1.10120276,0.92336195,1.07800451,1.08796698,1.02738196,1.24,0.9792,1.9443606,1.28,0.705,0,1.46,0.2801,1.28,0.46,64.61538462,32,0.02,0.07153571,27.1502665,0.07667415,96397.7,99471.33333333,197880.8,309443.71111111,-0.4128,0.0047,0.44119028,0.0047,0.44119028,-0.0251,-2.29202813,0,0,-0.0251,-2.29202813,-0.02,-1.83486239,United States,117987000,5.58506,NASDAQ,1.10607062,0.93801747,Miscellaneous Commercial Services,-0.15,3.88349515,127,,,,,,,,,,,,,,,,,0.54291847,1.33053,8.51106,0.12168449,-13.00813008,2020-08-12,0.87050764,64556.64666303,1.126,0.89669442,1.1255,0.77088621,1.09017667,1.09,0.993694,4.71698113,6.76216847,6.27888086,1.08,1.11222788,89166.31,0,-6.95652174,-13.70967742,2020-12-21
RDHL,Health Technology,35419248.0606,1.86915888,,,291682,8.85,8.72,9,8.59,3.38785047,0.29,331066000,,-1.7764,,8.622065,7.92625722,8.74385621,8.65268193,8.83245983,9.49,7.74,0.7590885,11.35,7.16,11.88369153,11.35,3.2621,11.35,6.06,24.82369535,22.22,3.2621,0.53537143,18.28967847,0.55991534,368893.3,277266.63333333,343594.41666667,368271.05555556,-1.4294,0.01,0.11312217,-0.09,-1.00671141,0.01,0.11312217,0.27,3.14685315,0.01,0.11312217,0.13,1.49082569,Israel,432195000,,NASDAQ,8.56484397,8.5491579,Pharmaceuticals: Major,1.04,3.99529965,,,,,,,,,,,,,,,,,,5.03162399,13.2998,,7.11694595,8.05860806,2020-11-12,0.77936243,,8.477,8.6367,8.388,7.3595,8.78433333,8.714,9.3082,5.12223516,6.4254383,6.15952714,8.81333333,8.47592496,2581385.7,-1.33779264,45.79901153,29.19708029,2021-02-25
CTXXF,Non-Energy Minerals,59504283.3198,1.86708861,,,11000,0.3219,0.3219,0.3219,0.3219,1.86708861,0.0059,20784020.73,,-0.0146734,,0.32503109,,0.32968367,0.31785426,0.32719176,0.3983,0.2983,1.2700852,0.48419,0.2228,39.95652174,0.48419,0.108,0.48419,0.1317,162.13355049,0.48419,0.108,0.00398429,8.72735411,0.01294966,12184.8,10101.9,12904.76666667,14052.02222222,-0.00393291,0.0059,1.86708861,0.0059,1.86708861,0.0059,1.86708861,0.0059,1.86708861,0.0059,1.86708861,0,0,Canada,38185663.48493356,28.6109,OTC,0.31783992,0.29435154,Construction Materials,0.0139,-0.95384615,,,,,,,,,,,,,,,,,,3.20836987,3.315,,1.2950244,5.54098361,2020-11-06,0.98900407,,0.3114115,0.29691906,0.3286672,,0.33617013,0.31838,0.35054028,1.83286735,1.07687084,0.8958711,0.3219,0.33962445,3540.9,3.83870968,57.02439024,,2021-03-04
GOTRF,Miscellaneous,16040091.5675,1.86666667,,,12000,0.1528,0.1528,0.1528,0.1528,1.86666667,0.0028,2554311.76,,-0.12577204,,0.13724499,0.52041025,0.13838296,0.14731211,0.14937328,0.1714,0.0952,0.9628569,0.2464,0.0952,6.92792162,1.7265,0.0585,0.435,0.0585,-61.55974843,3.1545,0.0585,0.00503143,12.52130763,0.01374627,28380.9,11192.93333333,7104.46666667,7244.17777778,-0.19361233,0.0028,1.86666667,0.0028,1.86666667,0.0028,1.86666667,0.0028,1.86666667,0.0028,1.86666667,0,0,Canada,1511907.16825753,,OTC,0.14234609,0.23165489,Miscellaneous,0.0243,38.90909091,,,,,,,,,,,,,,,,,,11.03727715,2.50341,,,31.38435082,2020-11-25,0.41983144,,0.14598,0.15659093,0.128385,0.47314399,0.1254871,0.14756,0.15266446,1.83246073,2.58864371,4.48703109,0.1528,0.14369149,1833.6,15.23378582,-57.19887955,-90.73096755,
SVBL,Non-Energy Minerals,29481512.3258,1.86545525,,,28892,0.55,0.52695,0.55,0.5217,6.32128359,0.0327,18416695,,-0.0898,3,0.5419566,0.61647693,0.55911254,0.51797741,0.58882938,0.6105,0.455,0.4932155,1.04,0.455,-44.10569106,1.04,0.176,1.04,0.455,-12.6429479,45.36,0.1736,0.04086429,22.76740235,0.04943133,64556.9,52334.93333333,55465.08333333,77759.23333333,-0.1336,0,0,0,0,0,0,0.0327,6.32128359,0,0,0.02305,4.37422905,Canada,21773100,,OTC,0.5234185,0.61726387,Other Metals/Minerals,-0.008,-1.92582026,263,,,,,,,,,,,,,,,,,1.78422378,2.78221,,,-1.78571429,2020-09-11,0.44447384,0,0.52292,0.68986345,0.544695,0.58156512,0.572615,0.4998,0.5727237,6.2679701,8.8102163,10.68783094,0.54056667,0.52220253,15890.6,6.81685764,-5.82191781,5.76923077,2021-01-26
GRNQ,Finance,16535304.0801,1.86335404,1.72,1348,171471,1.69,1.64,1.7,1.6001,4.9689441,0.08,100053577,,-0.0327,60,1.61688753,1.23141634,1.57735674,1.65833227,1.49782261,1.88,1.42,1.6066333,2.74,0.9,42.01680672,3.12,0.21,3.12,0.7,3.6809816,23,0.21,0.09572857,46.02007557,0.12012206,385763.9,303210.33333333,2824660.5,3435424.71111111,-0.0246,0.015,0.90634441,0,0,0.015,0.90634441,0,0,0.015,0.90634441,0.05,3.04878049,Hong Kong,87473600,,NASDAQ,1.64806911,1.3444183,Investment Managers,0.12,9.03225806,283,,,,,,,,,0.09,5.59006211,0.03,1.79640719,1.7,3.72670807,1.67,1.67,27.81617139,14.3821,,31.08029669,4.9689441,2020-11-16,0.45470311,74747.03333339,1.662,1.277954,1.61355,1.01768153,1.59870333,1.646,1.486814,6.24335979,6.45825801,5.36625849,1.66336667,1.70931505,289785.99,-1.16959064,196.49122807,201.7318336,
EOLS,Health Technology,21904547.0188,1.86170213,3.75,335,189548,3.83,3.83,3.95,3.77,1.86170213,0.07,129259436,,-2.0234,235,3.58546432,5.45048861,3.59784187,3.73882468,3.65744415,4.21,2.85,1.4901773,5.07,2.85,6.98324022,14.35,2.85,6.465,2.85,-25.48638132,39.5,2.85,0.28071429,17.81115189,0.29306623,578050.5,461654.66666667,455672.73333333,457351.02222222,-3.1884,-0.01,-0.26041667,0.025,0.65703022,-0.01,-0.26041667,0.06,1.59151194,-0.01,-0.26041667,0,0,United States,159327000,,NASDAQ,3.65015421,3.97470854,Pharmaceuticals: Major,0.38,23.94822006,38,,,,,,,,,-0.01,-0.26595745,0.15,4.16666667,3.75,-4.25531915,3.6,3.6,1.58822685,3.76005,,2.29011143,8.80681818,2020-10-29,0.32532806,148617.0212766,3.643,3.6369,3.442,4.4328,3.47366667,3.798,3.743,5.0397878,8.06960123,9.9547631,3.85,3.47676596,725968.84,12.31671554,-68.52917009,-72.62330236,2021-04-01
GSAH,Finance,74799975,1.86092067,10.4,480,404216,10.37,10.4,10.4,10.16,1.56709109,0.16,972187499.9999998,,,,10.14181321,,10.14611533,10.23450808,10.20059221,10.4,9.87,-0.017163,11.07,9.87,3.7,11.07,9.85,11.07,9.85,,11.07,9.85,0.13692857,31.79499422,0.14926889,175943.8,153445.03333333,177499.16666667,,0,0.09,0.86538462,0.09,0.86538462,0.09,0.86538462,0.12,1.15718419,0.09,0.86538462,-0.03,-0.28846154,United States,1717130000,,NYSE,10.17585442,,Financial Conglomerates,0.295,4.85338726,,"Hanging Man, Long Lower Shadow",0.12,1.15718419,10.49,10.49,10.49,10.49,200,0.19,1.86092067,0,0,10.4,1.86092067,10.4,10.4,204200,201.763,,,2.87698413,2020-11-13,2.88624696,,10.1525,,10.0765,,10.09516,10.221,10.270864,2.36220472,1.26587983,1.64379044,10.31,10.15947021,4191719.92,2.26824458,,,
CYCN,Health Technology,29248327.899,1.85758514,3.33,1950,399248,3.26,3.29,3.415,3.09,0.92879257,0.03,110715794,,-2.9642,94,2.99857654,5.04426166,3.24653637,3.11845961,3.7601921,3.415,2.18,1.2660819,8.96,2.18,-51.27055306,8.96,1.78,8.96,2.18,-15.54404145,21,1.69,0.22724286,24.66118414,0.30751373,625892,664830.26666667,611987.11666667,507780.82222222,-4.4926,0.01,0.30769231,0.01,0.30769231,0.01,0.30769231,0.01,0.30769231,0.01,0.30769231,-0.03,-0.9118541,United States,174732000,,NASDAQ,2.98564367,4.34233488,Pharmaceuticals: Major,0.78,44.88888889,113,Spinning Top Black,,,,,,,,0.1,3.09597523,0.1,3.09597523,3.33,0,3.23,3.23,0.91213306,2.74022,,28.44952799,15.19434629,2020-11-06,0.63363717,47946.80851064,2.9595,4.83225,2.70775,4.457325,2.66883333,3.115,4.2255,10.51779935,8.25095343,11.20036922,3.255,2.77748766,1301548.48,7.94701987,19.85294118,76.21621622,2021-03-03
CHPGF,Non-Energy Minerals,42033580.677,1.85378743,,,30836,3.4891,3.46914,3.5986,3.38,2.4398121,0.0831,191966792.9,,-0.01659325,,3.62651868,3.45825744,3.73039195,3.47833965,3.8656259,4.30499,3.14917,1.1654866,5.74941,3.14917,-28.19008809,5.75,1.01,5.75,2.44,16.30333333,15.01,1.01,0.20646586,14.10356833,0.21175102,39109.9,32836.4,24347.51666667,30615.36666667,-0.02606516,0.0083,0.23845093,0.0083,0.23845093,0.0374,1.08352406,0.0831,2.4398121,0.0374,1.08352406,0.01996,0.57535873,Canada,180693832.59911892,,OTC,3.51943469,3.83927159,Precious Metals,0.0031,-3.74896552,,"Bullish Harami, Spinning Top White",,,,,,,,,,,,,,,,2.3869058,2.70352,,,-1.99157303,2020-08-31,0.83916845,,3.50551,4.18694539,3.631685,3.22968683,3.739028,3.46702,3.9504188,6.46745562,6.08429305,6.88283287,3.48923333,3.63015889,107589.8876,-1.99157303,42.76186579,64.58018868,2020-11-30
UNIF,Finance,,1.85185185,,,300,8.25,8.25,8.25,8.25,1.85185185,0.15,45994080,7.74897159,1.0453,,7.62373602,7.82900961,7.45419322,8.10300499,7.31952325,8.39,6.7,0.3228487,8.45,6.5,25.95419847,9.75,6.37,9.75,6.37,-8.83977901,9.8,6.37,0.09785714,31.54112038,0.19066115,3709.7,1835.73333333,1751.88333333,3078.58888889,1.022,0.15,1.85185185,0.15,1.85185185,0.15,1.85185185,0.15,1.85185185,0.15,1.85185185,0,0,United States,27833900,,OTC,7.91651351,7.44328141,Regional Banks,0.5,19.56521739,,,,,,,,,,,,,,,,,,0.89470929,0.670775,12.5026,2.16255741,6.72703752,2020-10-27,0.08111835,,7.948,7.17895,7.454,8.12398,7.24933333,8.14,7.127,1.81818182,0.91650181,1.12037037,8.25,7.58894042,2475,3.125,-10.81081081,-9.93449782,
SCND,Producer Manufacturing,684159.588,1.85185185,,,437,8.25,8.25,8.25,8.25,1.85185185,0.15,12399750,,-0.518,44,8.0135115,7.58002284,8.03327391,8.13276674,8.16704534,9,7.4,0.35198712,11.53,5.5801,-28.26086957,12,3.36,12,5.5801,32.63665595,12,0.0625,0.16821429,11.19426244,0.35564014,1284.4,860.2,925.23333333,971,-0.4642,0,0,0,0,0,0,0.15,1.85185185,0,0,0,0,United States,15306100,,OTC,8.07451912,8.24414655,Miscellaneous Manufacturing,0,13.79310345,261,,,,,,,,,,,,,,,,,1.97725908,1.83185,,2.65709327,3.125,2020-11-23,0.34376967,194779.54545455,8.045,8.938002,7.9545,7.709464,7.84666667,8.11,7.9954,1.81818182,1.55237332,0.49940263,8.25,7.97273077,3605.25,0,8.55263158,98.79518072,2021-02-18
MTR,Energy Minerals,,1.84757506,,,11243,4.35,4.41,4.43,4.27,0.46189376,0.02,8106620,10.07914339,0.4296,,4.22680276,5.12356185,4.14837119,4.39920322,4.11927105,5.17,3.61,1.4971312,5.17,3.43,3.86819484,8.2476,3.43,6.7999,3.43,-29.26829268,86.86,3.43,0.21886429,47.03119783,0.23570344,15866.3,16007.46666667,11654.25,13079.62222222,0.9102,-0.08,-1.80586907,-0.05,-1.13636364,-0.03,-0.68493151,0.02,0.46189376,-0.01,-0.2293578,-0.06,-1.36054422,United States,6330780,7.1673,NYSE,4.35648295,4.34775306,Oil & Gas Production,0.2,19.17808219,498,,,,,,,,,,,,,,,,,3.12218337,2.9053,,8.03706784,4.56730769,2020-11-16,0.64707541,,4.42382,4.207586,4.159285,4.9369535,4.04944,4.41964,3.932006,3.7470726,4.75690921,4.74863458,4.35,4.22251901,48907.05,-4.81400438,-37.41007194,-38.73239437,
RIG,Industrial Services,579663671.14,1.84331797,2.28,701562,34320587,2.08,2.21,2.23,2.03,-4.14746544,-0.09,1279428800,,-0.947,6600,1.386487,2.03559144,1.26466952,1.90628294,1.20511086,2.685,0.65,2.9339888,2.685,0.65,54.07407407,7.28,0.65,3.815,0.65,49.64028777,163,0.65,0.19805,48.58296735,0.19900811,51538192.9,35873671.4,30804539.88333334,28661640.81111111,-2.0506,0.0101,0.48097528,0,0,0,0,0.02,0.9569378,0,0,-0.13,-5.88235294,Switzerland,7176440000,12.3223,NYSE,1.65539054,1.36188215,Contract Drilling,1.07,186.85698524,5415,,0.02,0.96153846,2.1,2.12,2.1,2.1,16188,0.03,1.38248848,0.02,0.91743119,2.2,0.46082949,2.09,2.18,0.11193397,0.0435318,,0.46147834,92.59259259,2020-11-02,0.68516486,496212.12121212,1.547,1.36795,1.246835,1.6034645,1.09343333,1.894,0.998994,9.85221675,13.3407371,21.55553704,2.11333333,1.39951576,71386820.96000001,56.39097744,-69.76744186,-58.23293173,2021-02-22
ELMD,Health Technology,6733354.74548,1.83861083,,,18794,9.87,9.97,10.18,9.8,0.81716037,0.08,84942996.6,23.61881785,0.4366,120,9.4610854,11.31579501,9.4882677,9.78563954,9.92904036,10.37,8.11,1.7859311,13.1299,8.1,-24.07692308,19.73,6.9157,18.69,8.1,-35.65840939,19.73,0.9015,0.5575,29.05954665,0.54098735,67153.6,84384.23333333,113995.46666667,124289.04444444,0.4952,0.07,0.71428571,-0.02,-0.20222447,0.07,0.71428571,0.01,0.10141988,0.07,0.71428571,-0.1,-1.00300903,United States,82181800,25.3568,NYSE ARCA,9.65098527,11.01402741,Medical Specialties,0.29,13.44827586,65,Bullish Harami,,,,,,,,,,,,,,,,2.77292335,2.9035,40.5222,2.72801655,0.10141988,2020-11-10,0.25230842,270589.06666667,9.695,12.1786,9.216,12.5171,9.11733333,9.788,9.339,3.97959184,5.46337847,5.6981635,9.95,9.31770722,185496.78,1.85758514,14.10404624,0.10141988,2021-02-16
CCAP,Finance,23621181.64,1.82348651,,,35310,13.69,13.96,13.96,13.69,-0.14587892,-0.02,385611706,14.13110699,0.9702,,13.5276843,12.64112589,13.4163732,13.66067754,13.24090693,14.3499,12.65,1.6750691,14.3499,12.12,10.85020243,17.99,6.21,14.3499,11.62,7.79527559,17.99,6.21,0.40097857,20.51531564,0.39959256,21726.9,17715.73333333,17544.26666667,15932.64444444,1.69,0,0,-0.04,-0.29133285,0,0,-0.115,-0.83303151,0,0,-0.27,-1.93409742,United States,769802000,,NASDAQ,13.63820531,12.97432,Investment Managers,-0.23,8.780294,174,Marubozu Black,,,,,,,,,,,,,,,,0.70290138,0.668666,,6.04693173,-1.22655123,2020-11-04,1.83175456,,13.681,12.776577,13.605,12.4060885,13.29282667,13.62,13.222328,1.97224251,2.73867289,1.94232665,13.78,13.61104168,483393.9,1.33234641,,,2021-03-11
PTE,Consumer Durables,24519573.1333,1.82042579,0.6538,62780,2091442,0.6915,0.66,0.716,0.64,6.68003703,0.0433,27135358.95,,-1.6799,157,0.83153394,1.66250372,0.87876891,0.71649235,0.95232144,1.1,0.553,0.73244715,1.2699,0.553,-43.31967213,4.6,0.553,2.38,0.553,-32.20588235,12859.9275,0.553,0.08898364,16.55352047,0.09685537,3399483.5,1716490.63333333,1063103.53333333,1163772.01111111,-3.7047,0,0,0,0,0,0,0.0128,1.90987765,0,0,0.0315,4.77272727,United States,25931600,,NASDAQ,0.76692843,1.09418653,Recreational Products,-0.1273,-30.25718608,111,,-0.0095,-1.37382502,0.682,0.683,0.6819,0.683,2043,0.0018,0.27769207,-0.001,-0.15360983,0.65,0.43196544,0.64,0.651,0.4559619,1.64773,,3.13983649,-13.88542964,2020-11-09,0.64845868,36000,0.78921,1.171407,0.84153,1.1506725,0.90235667,0.71972,0.964614,11.875,10.64201553,12.66759877,0.6825,0.74012431,1446232.143,-28.49757005,-73.40384615,-78.65740741,2021-03-18
BOX,Technology Services,151494701.755,1.81818182,18.5,17316,1313142,18.46,18.48,18.5899,17.92,1.70798898,0.31,2889820700,,-0.6955,2046,17.28872128,17.41668286,17.19982666,17.95224805,17.26576201,18.5899,15.075,0.34939423,20.59,15.075,-7.7,22.09,8.64,22.09,15.075,-4.69798658,29.79,8.64,0.54449286,15.36587926,0.54660083,1302664.2,1529919.83333333,1686519.3,1882016.82222222,-0.9769,-0.08,-0.43033889,-0.08,-0.43033889,-0.08,-0.43033889,0.0598,0.32411573,-0.08,-0.43033889,-0.02,-0.10822511,United States,2959840000,,NYSE,17.62345672,17.44845487,Information Technology Services,1.75,14.87243311,248,Long Lower Shadow,0.04,0.21668472,18.5,18.5,18.5,18.5,100,0.33,1.81818182,0.27,1.48270181,18.48,0.33057851,18.21,18.21,119.794073,47.1091,29.8828,3.81265933,7.63848397,2020-08-26,1.02557066,340304.98533724,17.585,17.73,16.978,17.12275,16.77866667,17.85,17.0904,3.73828125,3.27907476,2.59441894,18.3233,16.93834105,24240601.32,5.24515393,10.01191895,1.20614035,2020-12-01
